温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
16:24:29	414	425.5	156.9	-270.1	-270.1
16:24:30	414	425.5	155.9	-270.1	-270.1
16:24:31	414	425.5	155	-270.1	-270.1
16:24:32	413.9	425.5	154	-270.1	-270.1
16:24:33	413.9	425.5	153.2	-270.1	-270.1
16:24:34	414	425.5	152.3	-270.1	-270.1
16:24:35	414	425.5	151.5	-270.1	-270.1
16:24:36	414	425.5	150.6	-270.1	-270.1
16:24:37	414	425.5	149.7	-270.1	-270.1
16:24:38	414	425.5	148.9	-270.1	-270.1
16:24:39	414	425.5	148.1	-270.1	-270.1
16:24:40	413.9	425.4	148.1	-270.1	-270.1
16:24:41	413.9	425.4	147.2	-270.1	-270.1
16:24:42	414	425.5	146.3	-270.1	-270.1
16:24:43	414	425.5	145.6	-270.1	-270.1
16:24:44	414	425.5	144.8	-270.1	-270.1
16:24:45	414	425.5	144	-270.1	-270.1
16:24:46	414	425.4	143.2	-270.1	-270.1
16:24:47	414	425.4	142.4	-270.1	-270.1
16:24:48	414	425.4	141.6	-270.1	-270.1
16:24:49	414	425.4	140.9	-270.1	-270.1
16:24:50	414	425.4	140.2	-270.1	-270.1
16:24:51	414	425.4	139.4	-270.1	-270.1
16:24:52	414	425.4	138.6	-270.1	-270.1
16:24:53	414	425.4	137.9	-270.1	-270.1
16:24:54	414	425.4	137.2	-270.1	-270.1
16:24:55	413.9	425.4	136.5	-270.1	-270.1
16:24:56	413.9	425.4	135.8	-270.1	-270.1
16:24:57	414	425.4	135.1	-270.1	-270.1
16:24:58	414	425.4	134.5	-270.1	-270.1
16:24:59	413.9	425.4	133.8	-270.1	-270.1
16:25:00	413.9	425.4	133.1	-270.1	-270.1
16:25:01	413.9	425.4	132.5	-270.1	-270.1
16:25:02	413.9	425.4	131.8	-270.1	-270.1
16:25:03	413.9	425.4	131.2	-270.1	-270.1
16:25:04	413.9	425.3	130.4	-270.1	-270.1
16:25:05	413.8	425.3	129.5	-270.1	-270.1
16:25:06	413.9	425.3	128.8	-270.1	-270.1
16:25:07	413.9	425.4	127.8	-270.1	-270.1
16:25:08	413.9	425.4	126.5	-270.1	-270.1
16:25:09	413.9	425.4	125.2	-270.1	-270.1
16:25:10	413.9	425.4	123.9	-270.1	-270.1
16:25:11	413.9	425.4	122.5	-270.1	-270.1
16:25:12	413.9	425.4	121.2	-270.1	-270.1
16:25:13	414	425.4	120	-270.1	-270.1
16:25:14	414	425.4	118.8	-270.1	-270.1
16:25:15	414	425.4	117.6	-270.1	-270.1
16:25:16	414	425.4	116.6	-270.1	-270.1
16:25:17	414	425.4	115.7	-270.1	-270.1
16:25:18	414	425.4	114.8	-270.1	-270.1
16:25:19	414	425.4	114	-270.1	-270.1
16:25:20	414	425.4	113	-270.1	-270.1
16:25:21	414	425.4	112.1	-270.1	-270.1
16:25:22	414	425.5	111.1	-270.1	-270.1
16:25:23	414	425.4	109.9	-270.1	-270.1
16:25:24	414	425.5	108.8	-270.1	-270.1
16:25:25	414	425.5	107.7	-270.1	-270.1
16:25:26	414	425.5	106.9	-270.1	-270.1
16:25:27	414	425.5	106.1	-270.1	-270.1
16:25:28	414	425.5	105.3	-270.1	-270.1
16:25:29	414	425.5	104.5	-270.1	-270.1
16:25:30	414	425.5	103.5	-270.1	-270.1
16:25:31	414	425.5	102.5	-270.1	-270.1
16:25:32	414	425.5	101.7	-270.1	-270.1
16:25:33	414	425.5	100.9	-270.1	-270.1
16:25:34	414	425.5	100.3	-270.1	-270.1
16:25:35	414	425.5	99.9	-270.1	-270.1
16:25:36	414	425.5	99.5	-270.1	-270.1
16:25:37	414	425.5	99.2	-270.1	-270.1
16:25:38	414	425.5	98.9	-270.1	-270.1
16:25:39	414	425.5	98.7	-270.1	-270.1
16:25:40	414	425.5	98.4	-270.1	-270.1
16:25:41	414	425.5	98.1	-270.1	-270.1
16:25:42	414	425.5	97.8	-270.1	-270.1
16:25:43	414	425.5	97.5	-270.1	-270.1
16:25:44	414.1	425.5	97.3	-270.1	-270.1
16:25:45	414.1	425.5	97.1	-270.1	-270.1
16:25:46	414	425.5	96.7	-270.1	-270.1
16:25:47	414	425.5	96.7	-270.1	-270.1
16:25:48	414	425.5	96.5	-270.1	-270.1
16:25:49	414	425.5	96.2	-270.1	-270.1
16:25:50	414	425.5	96	-270.1	-270.1
16:25:51	414	425.5	95.7	-270.1	-270.1
16:25:52	414	425.6	95.4	-270.1	-270.1
16:25:53	414.1	425.5	95.3	-270.1	-270.1
16:25:54	414	425.5	95.2	-270.1	-270.1
16:25:55	414	425.5	95.1	-270.1	-270.1
16:25:56	414	425.5	95	-270.1	-270.1
16:25:57	414	425.5	94.9	-270.1	-270.1
16:25:58	414	425.5	94.8	-270.1	-270.1
16:25:59	414	425.5	94.7	-270.1	-270.1
16:26:00	414	425.5	94.6	-270.1	-270.1
16:26:01	414	425.5	94.4	-270.1	-270.1
16:26:02	414	425.5	94.2	-270.1	-270.1
16:26:03	414	425.5	94	-270.1	-270.1
16:26:04	414	425.5	93.8	-270.1	-270.1
16:26:05	414	425.5	93.6	-270.1	-270.1
16:26:06	414	425.5	93.4	-270.1	-270.1
16:26:07	414	425.5	93.3	-270.1	-270.1
16:26:08	414	425.5	93.2	-270.1	-270.1
16:26:09	414	425.5	93	-270.1	-270.1
16:26:10	414	425.5	92.8	-270.1	-270.1
16:26:11	414	425.4	92.6	-270.1	-270.1
16:26:12	414	425.4	92.4	-270.1	-270.1
16:26:13	414	425.5	92.3	-270.1	-270.1
16:26:14	414	425.4	92.1	-270.1	-270.1
16:26:15	414	425.4	91.9	-270.1	-270.1
16:26:16	414	425.4	91.7	-270.1	-270.1
16:26:17	414	425.4	91.6	-270.1	-270.1
16:26:18	414	425.4	91.4	-270.1	-270.1
16:26:19	414	425.4	91.2	-270.1	-270.1
16:26:20	414.1	425.5	91.1	-270.1	-270.1
16:26:21	414.1	425.5	91	-270.1	-270.1
16:26:22	414	425.4	90.9	-270.1	-270.1
16:26:23	414	425.4	90.8	-270.1	-270.1
16:26:24	414	425.4	90.7	-270.1	-270.1
16:26:25	414	425.4	90.6	-270.1	-270.1
16:26:26	414	425.4	90.5	-270.1	-270.1
16:26:27	414	425.4	90.3	-270.1	-270.1
16:26:28	414	425.4	90.3	-270.1	-270.1
16:26:29	414	425.4	90.2	-270.1	-270.1
16:26:30	414	425.4	90.1	-270.1	-270.1
16:26:31	414	425.4	89.9	-270.1	-270.1
16:26:32	414	425.4	89.8	-270.1	-270.1
16:26:33	414	425.4	89.8	-270.1	-270.1
16:26:34	414	425.4	89.7	-270.1	-270.1
16:26:35	414	425.4	89.6	-270.1	-270.1
16:26:36	414.1	425.5	89.5	-270.1	-270.1
16:26:37	414.1	425.5	89.4	-270.1	-270.1
16:26:38	414	425.4	89.1	-270.1	-270.1
16:26:39	414	425.4	88.9	-270.1	-270.1
16:26:40	414	425.4	88.8	-270.1	-270.1
16:26:41	414	425.4	88.6	-270.1	-270.1
16:26:42	414.1	425.5	88.6	-270.1	-270.1
16:26:43	414.1	425.5	88.5	-270.1	-270.1
16:26:44	414.1	425.5	88.4	-270.1	-270.1
16:26:45	414.1	425.5	88.3	-270.1	-270.1
16:26:46	414.1	425.5	88.2	-270.1	-270.1
16:26:47	414	425.5	88.1	-270.1	-270.1
16:26:48	414	425.5	88	-270.1	-270.1
16:26:49	414	425.5	87.9	-270.1	-270.1
16:26:50	414	425.5	87.7	-270.1	-270.1
16:26:51	414	425.5	87.6	-270.1	-270.1
16:26:52	414	425.5	87.4	-270.1	-270.1
16:26:53	414	425.5	87.3	-270.1	-270.1
16:26:54	414	425.5	87.1	-270.1	-270.1
16:26:55	414	425.5	87.1	-270.1	-270.1
16:26:56	414	425.5	86.9	-270.1	-270.1
16:26:57	414	425.5	86.7	-270.1	-270.1
16:26:58	414	425.5	86.6	-270.1	-270.1
16:26:59	414	425.5	86.4	-270.1	-270.1
16:27:00	414	425.5	86.2	-270.1	-270.1
16:27:01	414	425.5	86	-270.1	-270.1
16:27:02	414	425.4	85.8	-270.1	-270.1
16:27:03	414	425.4	85.7	-270.1	-270.1
16:27:04	414	425.5	85.5	-270.1	-270.1
16:27:05	414	425.4	85.2	-270.1	-270.1
16:27:06	413.9	425.4	84.9	-270.1	-270.1
16:27:07	414	425.4	84.8	-270.1	-270.1
16:27:08	414	425.4	84.5	-270.1	-270.1
16:27:09	414	425.4	84.2	-270.1	-270.1
16:27:10	414	425.4	83.8	-270.1	-270.1
16:27:11	414	425.4	83.3	-270.1	-270.1
16:27:12	414	425.4	82.9	-270.1	-270.1
16:27:13	414	425.4	82.7	-270.1	-270.1
16:27:14	414	425.4	82.7	-270.1	-270.1
16:27:15	414	425.4	82.7	-270.1	-270.1
16:27:16	414	425.4	82.7	-270.1	-270.1
16:27:17	414	425.4	82.6	-270.1	-270.1
16:27:18	414	425.4	82.5	-270.1	-270.1
16:27:19	414	425.4	82.5	-270.1	-270.1
