温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
16:51:21	414.1	427.1	156.6	-270.1	-270.1
16:51:22	414.1	427.1	155.7	-270.1	-270.1
16:51:23	414	427.1	154.8	-270.1	-270.1
16:51:24	414	427.1	153.9	-270.1	-270.1
16:51:25	414	427.1	153	-270.1	-270.1
16:51:26	414	427.2	152.1	-270.1	-270.1
16:51:27	414	427.2	151.2	-270.1	-270.1
16:51:28	414	427.2	150.3	-270.1	-270.1
16:51:29	414	427.2	149.5	-270.1	-270.1
16:51:30	414	427.2	148.6	-270.1	-270.1
16:51:31	414	427.2	147.7	-270.1	-270.1
16:51:32	414	427.2	146.8	-270.1	-270.1
16:51:33	414	427.2	146	-270.1	-270.1
16:51:34	414	427.2	145	-270.1	-270.1
16:51:35	414	427.2	143.8	-270.1	-270.1
16:51:36	414	427.2	142.4	-270.1	-270.1
16:51:37	414	427.2	140.8	-270.1	-270.1
16:51:38	414	427.2	139.1	-270.1	-270.1
16:51:39	414	427.2	137.4	-270.1	-270.1
16:51:40	414	427.2	135.7	-270.1	-270.1
16:51:41	414	427.2	134.1	-270.1	-270.1
16:51:42	413.9	427.2	132.6	-270.1	-270.1
16:51:43	413.9	427.2	131.1	-270.1	-270.1
16:51:44	413.9	427.2	129.6	-270.1	-270.1
16:51:45	413.9	427.2	128.2	-270.1	-270.1
16:51:46	413.9	427.2	126.8	-270.1	-270.1
16:51:47	413.9	427.2	125.5	-270.1	-270.1
16:51:48	413.9	427.2	124.2	-270.1	-270.1
16:51:49	413.9	427.2	122.7	-270.1	-270.1
16:51:50	413.9	427.2	121.5	-270.1	-270.1
16:51:51	414	427.2	120.5	-270.1	-270.1
16:51:52	414	427.2	119.6	-270.1	-270.1
16:51:53	414	427.2	118.9	-270.1	-270.1
16:51:54	414	427.2	118.4	-270.1	-270.1
16:51:55	414	427.1	117.8	-270.1	-270.1
16:51:56	414	427.2	117.4	-270.1	-270.1
16:51:57	414.1	427.2	116.9	-270.1	-270.1
16:51:58	414	427.1	116.4	-270.1	-270.1
16:51:59	414	427.1	115.9	-270.1	-270.1
16:52:00	414	427.1	115.4	-270.1	-270.1
16:52:01	414	427.1	115.4	-270.1	-270.1
16:52:02	414	427.1	114.9	-270.1	-270.1
16:52:03	414	427.1	114.4	-270.1	-270.1
16:52:04	414	427.1	113.9	-270.1	-270.1
16:52:05	414	427.1	113.5	-270.1	-270.1
16:52:06	414	427	113.1	-270.1	-270.1
16:52:07	414	427	112.7	-270.1	-270.1
16:52:08	414.1	427.1	112.3	-270.1	-270.1
16:52:09	414.1	427.1	112	-270.1	-270.1
16:52:10	414	427	111.6	-270.1	-270.1
16:52:11	414	427	111.1	-270.1	-270.1
16:52:12	414.1	427.1	110.5	-270.1	-270.1
16:52:13	414.1	427.1	110	-270.1	-270.1
16:52:14	414	427.1	109.9	-270.1	-270.1
16:52:15	414	427	109.9	-270.1	-270.1
16:52:16	414	427	110	-270.1	-270.1
16:52:17	414	427	110.2	-270.1	-270.1
16:52:18	414	427	110.4	-270.1	-270.1
16:52:19	414	427	110.8	-270.1	-270.1
16:52:20	414.1	427	111.3	-270.1	-270.1
16:52:21	414	427	112.2	-270.1	-270.1
16:52:22	414	426.9	113.2	-270.1	-270.1
16:52:23	414.1	426.9	114.8	-270.1	-270.1
16:52:24	414.1	427	116.7	-270.1	-270.1
16:52:25	414.1	427	119	-270.1	-270.1
16:52:26	414.1	427	121.6	-270.1	-270.1
16:52:27	414	427	124.6	-270.1	-270.1
16:52:28	414	427	128.1	-270.1	-270.1
16:52:29	414	427	131.8	-270.1	-270.1
16:52:30	414	427	135.8	-270.1	-270.1
16:52:31	414	427	140	-270.1	-270.1
16:52:32	414	427	144.5	-270.1	-270.1
16:52:33	414	427	149.2	-270.1	-270.1
16:52:34	413.9	427	154	-270.1	-270.1
16:52:35	413.9	427	158.9	-270.1	-270.1
16:52:36	413.9	427	163.8	-270.1	-270.1
16:52:37	413.8	427	168.7	-270.1	-270.1
16:52:38	413.8	427	173.5	-270.1	-270.1
16:52:39	413.7	427	178.2	-270.1	-270.1
16:52:40	413.6	427	182.7	-270.1	-270.1
16:52:41	413.6	427	187.1	-270.1	-270.1
16:52:42	413.6	427	191.4	-270.1	-270.1
16:52:43	413.6	427	195.6	-270.1	-270.1
16:52:44	413.6	427	199.8	-270.1	-270.1
16:52:45	413.5	427	203.8	-270.1	-270.1
16:52:46	413.6	427	207.8	-270.1	-270.1
16:52:47	413.6	427	211.7	-270.1	-270.1
16:52:48	413.5	427	215.5	-270.1	-270.1
16:52:49	413.5	427.1	219.2	-270.1	-270.1
16:52:50	413.5	427	222.8	-270.1	-270.1
16:52:51	413.4	427	226.4	-270.1	-270.1
16:52:52	413.4	427	230	-270.1	-270.1
16:52:53	413.4	427	233.4	-270.1	-270.1
16:52:54	413.4	427	236.9	-270.1	-270.1
16:52:55	413.4	427	240.2	-270.1	-270.1
16:52:56	413.4	427.1	243.5	-270.1	-270.1
16:52:57	413.4	427	246.7	-270.1	-270.1
16:52:58	413.3	427	249.8	-270.1	-270.1
16:52:59	413.3	427	252.9	-270.1	-270.1
16:53:00	413.3	427	255.9	-270.1	-270.1
16:53:01	413.3	427	258.9	-270.1	-270.1
16:53:02	413.2	427	261.8	-270.1	-270.1
16:53:03	413.2	426.9	264.6	-270.1	-270.1
16:53:04	413.3	427	267.5	-270.1	-270.1
16:53:05	413.2	427	270.2	-270.1	-270.1
16:53:06	413.2	426.9	272.9	-270.1	-270.1
16:53:07	413.1	426.9	275.5	-270.1	-270.1
16:53:08	413.1	426.9	275.5	-270.1	-270.1
16:53:09	413.1	426.9	278.1	-270.1	-270.1
16:53:10	413.1	426.9	280.7	-270.1	-270.1
16:53:11	413.1	426.9	283.2	-270.1	-270.1
16:53:12	413.1	426.8	285.6	-270.1	-270.1
16:53:13	413	426.8	288	-270.1	-270.1
16:53:14	413	426.8	290.4	-270.1	-270.1
16:53:15	413	426.8	292.7	-270.1	-270.1
16:53:16	413	426.8	295	-270.1	-270.1
16:53:17	413	426.8	297.2	-270.1	-270.1
16:53:18	413	426.7	299.3	-270.1	-270.1
16:53:19	413	426.7	301.5	-270.1	-270.1
16:53:20	413	426.7	303.6	-270.1	-270.1
16:53:21	412.9	426.7	305.6	-270.1	-270.1
16:53:22	412.9	426.7	307.6	-270.1	-270.1
16:53:23	412.9	426.7	309.6	-270.1	-270.1
16:53:24	412.9	426.6	311.6	-270.1	-270.1
16:53:25	412.9	426.6	313.5	-270.1	-270.1
16:53:26	412.9	426.6	315.4	-270.1	-270.1
16:53:27	412.9	426.6	317.3	-270.1	-270.1
16:53:28	412.9	426.6	319.1	-270.1	-270.1
16:53:29	412.9	426.6	320.9	-270.1	-270.1
16:53:30	412.9	426.5	322.6	-270.1	-270.1
16:53:31	412.9	426.5	324.4	-270.1	-270.1
16:53:32	413	426.5	326	-270.1	-270.1
16:53:33	413	426.6	327.7	-270.1	-270.1
16:53:34	412.9	426.5	329.3	-270.1	-270.1
16:53:35	412.9	426.5	330.8	-270.1	-270.1
16:53:36	413	426.5	332.4	-270.1	-270.1
16:53:37	413	426.5	333.9	-270.1	-270.1
16:53:38	412.9	426.4	335.4	-270.1	-270.1
16:53:39	412.9	426.4	336.9	-270.1	-270.1
16:53:40	412.9	426.5	338.4	-270.1	-270.1
16:53:41	412.9	426.4	339.8	-270.1	-270.1
16:53:42	412.9	426.4	341.2	-270.1	-270.1
16:53:43	412.9	426.4	342.5	-270.1	-270.1
16:53:44	412.9	426.4	343.8	-270.1	-270.1
16:53:45	412.9	426.4	345.1	-270.1	-270.1
16:53:46	412.8	426.4	346.3	-270.1	-270.1
16:53:47	412.8	426.4	347.6	-270.1	-270.1
16:53:48	412.8	426.4	348.9	-270.1	-270.1
16:53:49	412.8	426.4	350.1	-270.1	-270.1
16:53:50	412.8	426.4	351.3	-270.1	-270.1
16:53:51	412.8	426.4	352.4	-270.1	-270.1
16:53:52	412.8	426.4	353.5	-270.1	-270.1
16:53:53	412.8	426.4	354.7	-270.1	-270.1
16:53:54	412.8	426.4	355.8	-270.1	-270.1
16:53:55	412.8	426.4	356.8	-270.1	-270.1
16:53:56	412.7	426.3	357.8	-270.1	-270.1
16:53:57	412.7	426.3	358.8	-270.1	-270.1
16:53:58	412.7	426.3	359.8	-270.1	-270.1
16:53:59	412.7	426.3	360.8	-270.1	-270.1
