温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
 9: 0:12	31.4	31.3	30.7	-270.1	-270.1
 9: 0:13	31.5	31.3	30.7	-270.1	-270.1
 9: 0:14	31.5	31.3	30.7	-270.1	-270.1
 9: 0:15	31.5	31.3	30.7	-270.1	-270.1
 9: 0:16	31.5	31.3	30.7	-270.1	-270.1
 9: 0:17	31.5	31.3	30.7	-270.1	-270.1
 9: 0:18	31.6	31.3	30.7	-270.1	-270.1
 9: 0:19	31.6	31.3	30.7	-270.1	-270.1
 9: 0:20	31.6	31.3	30.7	-270.1	-270.1
 9: 0:21	31.6	31.3	30.7	-270.1	-270.1
 9: 0:22	31.7	31.3	30.7	-270.1	-270.1
 9: 0:23	31.7	31.3	30.7	-270.1	-270.1
 9: 0:24	31.8	31.3	30.7	-270.1	-270.1
 9: 0:25	31.8	31.3	30.7	-270.1	-270.1
 9: 0:26	31.8	31.3	30.8	-270.1	-270.1
 9: 0:27	31.9	31.3	30.8	-270.1	-270.1
 9: 0:28	32	31.3	30.8	-270.1	-270.1
 9: 0:29	32	31.3	30.8	-270.1	-270.1
 9: 0:30	32.1	31.4	30.8	-270.1	-270.1
 9: 0:31	32.2	31.4	30.9	-270.1	-270.1
 9: 0:32	32.2	31.3	30.8	-270.1	-270.1
 9: 0:33	32.3	31.3	30.8	-270.1	-270.1
 9: 0:34	32.4	31.3	30.8	-270.1	-270.1
 9: 0:35	32.4	31.3	30.8	-270.1	-270.1
 9: 0:36	32.5	31.3	30.8	-270.1	-270.1
 9: 0:37	32.6	31.3	30.8	-270.1	-270.1
 9: 0:38	32.8	31.4	30.9	-270.1	-270.1
 9: 0:39	32.9	31.4	30.9	-270.1	-270.1
 9: 0:40	32.9	31.3	30.8	-270.1	-270.1
 9: 0:41	33	31.3	30.9	-270.1	-270.1
 9: 0:42	33.1	31.3	30.9	-270.1	-270.1
 9: 0:43	33.2	31.3	30.9	-270.1	-270.1
 9: 0:44	33.3	31.3	30.9	-270.1	-270.1
 9: 0:45	33.5	31.3	30.9	-270.1	-270.1
 9: 0:46	33.6	31.4	31	-270.1	-270.1
 9: 0:47	33.8	31.4	31	-270.1	-270.1
 9: 0:48	33.8	31.3	30.9	-270.1	-270.1
 9: 0:49	34	31.3	30.9	-270.1	-270.1
 9: 0:50	34.1	31.3	30.9	-270.1	-270.1
 9: 0:51	34.2	31.3	30.9	-270.1	-270.1
 9: 0:52	34.4	31.3	30.9	-270.1	-270.1
 9: 0:53	34.5	31.3	30.9	-270.1	-270.1
 9: 0:54	34.7	31.3	30.9	-270.1	-270.1
 9: 0:55	34.8	31.3	30.9	-270.1	-270.1
 9: 0:56	35	31.4	31	-270.1	-270.1
 9: 0:57	35.2	31.3	31	-270.1	-270.1
 9: 0:58	35.3	31.4	31	-270.1	-270.1
 9: 0:59	35.5	31.4	31	-270.1	-270.1
 9: 1: 0	35.6	31.4	31	-270.1	-270.1
 9: 1: 1	35.8	31.4	31	-270.1	-270.1
 9: 1: 2	36	31.4	31	-270.1	-270.1
 9: 1: 3	36.1	31.4	31	-270.1	-270.1
 9: 1: 4	36.3	31.4	31	-270.1	-270.1
 9: 1: 5	36.4	31.3	31	-270.1	-270.1
 9: 1: 6	36.6	31.4	31	-270.1	-270.1
 9: 1: 7	36.8	31.4	31	-270.1	-270.1
 9: 1: 8	36.9	31.4	31.1	-270.1	-270.1
 9: 1: 9	37.1	31.4	31.1	-270.1	-270.1
 9: 1:10	37.3	31.4	31.1	-270.1	-270.1
 9: 1:11	37.4	31.4	31.1	-270.1	-270.1
 9: 1:12	37.6	31.3	31.1	-270.1	-270.1
 9: 1:13	37.8	31.3	31.1	-270.1	-270.1
 9: 1:14	37.9	31.3	31.1	-270.1	-270.1
 9: 1:15	38.1	31.3	31.1	-270.1	-270.1
 9: 1:16	38.3	31.3	31.1	-270.1	-270.1
 9: 1:17	38.4	31.3	31.1	-270.1	-270.1
 9: 1:18	38.6	31.3	31.1	-270.1	-270.1
 9: 1:19	38.7	31.3	31.1	-270.1	-270.1
 9: 1:20	38.9	31.3	31.1	-270.1	-270.1
 9: 1:21	39.1	31.3	31.1	-270.1	-270.1
 9: 1:22	39.2	31.3	31.1	-270.1	-270.1
 9: 1:23	39.4	31.3	31.1	-270.1	-270.1
 9: 1:24	39.6	31.3	31.1	-270.1	-270.1
 9: 1:25	39.7	31.3	31.1	-270.1	-270.1
 9: 1:26	39.9	31.3	31.1	-270.1	-270.1
 9: 1:27	40	31.3	31.1	-270.1	-270.1
 9: 1:28	40.2	31.3	31.1	-270.1	-270.1
 9: 1:29	40.4	31.3	31.1	-270.1	-270.1
 9: 1:30	40.6	31.4	31.2	-270.1	-270.1
 9: 1:31	40.7	31.4	31.2	-270.1	-270.1
 9: 1:32	40.8	31.3	31.2	-270.1	-270.1
 9: 1:33	40.8	31.3	31.2	-270.1	-270.1
 9: 1:34	41	31.3	31.2	-270.1	-270.1
 9: 1:35	41.1	31.3	31.2	-270.1	-270.1
 9: 1:36	41.3	31.3	31.2	-270.1	-270.1
 9: 1:37	41.5	31.3	31.2	-270.1	-270.1
 9: 1:38	41.6	31.3	31.2	-270.1	-270.1
 9: 1:39	41.8	31.3	31.2	-270.1	-270.1
 9: 1:40	41.9	31.3	31.2	-270.1	-270.1
 9: 1:41	42.1	31.3	31.2	-270.1	-270.1
 9: 1:42	42.2	31.3	31.2	-270.1	-270.1
