温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
 8:21:22	32.3	32.5	31.7	-270.1	-270.1
 8:21:23	32.5	32.5	31.7	-270.1	-270.1
 8:21:24	32.5	32.6	31.8	-270.1	-270.1
 8:21:25	32.5	32.5	31.8	-270.1	-270.1
 8:21:26	32.6	32.5	31.8	-270.1	-270.1
 8:21:27	32.7	32.5	31.8	-270.1	-270.1
 8:21:28	32.8	32.5	31.8	-270.1	-270.1
 8:21:29	32.9	32.5	31.8	-270.1	-270.1
 8:21:30	33.1	32.5	31.9	-270.1	-270.1
 8:21:31	33.3	32.6	31.9	-270.1	-270.1
 8:21:32	33.4	32.6	31.9	-270.1	-270.1
 8:21:33	33.7	32.6	32	-270.1	-270.1
 8:21:34	33.9	32.6	32	-270.1	-270.1
 8:21:35	34.2	32.6	32	-270.1	-270.1
 8:21:36	34.4	32.6	32.1	-270.1	-270.1
 8:21:37	34.7	32.6	32.1	-270.1	-270.1
 8:21:38	35.2	32.7	32.2	-270.1	-270.1
 8:21:39	35.5	32.7	32.3	-270.1	-270.1
 8:21:40	35.9	32.7	32.3	-270.1	-270.1
 8:21:41	36.3	32.8	32.4	-270.1	-270.1
 8:21:42	36.8	32.9	32.5	-270.1	-270.1
 8:21:43	37.4	32.9	32.6	-270.1	-270.1
 8:21:44	37.8	32.9	32.7	-270.1	-270.1
 8:21:45	38.4	33	32.8	-270.1	-270.1
 8:21:46	39.1	33.1	32.9	-270.1	-270.1
 8:21:47	39.7	33.2	33.1	-270.1	-270.1
 8:21:48	40.4	33.3	33.2	-270.1	-270.1
 8:21:49	41.2	33.4	33.4	-270.1	-270.1
 8:21:50	41.9	33.5	33.5	-270.1	-270.1
 8:21:51	42.8	33.6	33.7	-270.1	-270.1
 8:21:52	43.6	33.7	33.9	-270.1	-270.1
 8:21:53	44.5	33.8	34.1	-270.1	-270.1
 8:21:54	45.4	33.9	34.3	-270.1	-270.1
 8:21:55	46.4	34.1	34.5	-270.1	-270.1
 8:21:56	47.4	34.3	34.7	-270.1	-270.1
 8:21:57	48.5	34.4	35	-270.1	-270.1
 8:21:58	49.6	34.6	35.2	-270.1	-270.1
 8:21:59	50.8	34.8	35.5	-270.1	-270.1
 8:22: 0	51.9	35	35.7	-270.1	-270.1
 8:22: 1	53.2	35.2	36	-270.1	-270.1
 8:22: 2	54.4	35.4	36.3	-270.1	-270.1
 8:22: 3	55.7	35.6	36.6	-270.1	-270.1
 8:22: 4	57	35.8	36.9	-270.1	-270.1
 8:22: 5	58.3	36.1	37.3	-270.1	-270.1
 8:22: 6	59.8	36.4	37.3	-270.1	-270.1
 8:22: 7	61.2	36.6	37.7	-270.1	-270.1
 8:22: 8	62.7	36.9	38.1	-270.1	-270.1
 8:22: 9	64.2	37.2	38.4	-270.1	-270.1
 8:22:10	65.7	37.5	38.8	-270.1	-270.1
 8:22:11	67.3	37.8	39.2	-270.1	-270.1
 8:22:12	68.9	38.1	39.6	-270.1	-270.1
 8:22:13	70.6	38.4	40	-270.1	-270.1
 8:22:14	72.2	38.7	40.5	-270.1	-270.1
 8:22:15	73.9	39.1	40.9	-270.1	-270.1
 8:22:16	75.7	39.4	41.4	-270.1	-270.1
 8:22:17	77.5	39.8	41.8	-270.1	-270.1
 8:22:18	79.3	40.2	42.3	-270.1	-270.1
 8:22:19	81.1	40.2	42.8	-270.1	-270.1
 8:22:20	82.9	40.5	43.3	-270.1	-270.1
 8:22:21	84.8	40.9	43.8	-270.1	-270.1
 8:22:22	86.7	41.3	44.4	-270.1	-270.1
 8:22:23	88.7	41.7	44.9	-270.1	-270.1
 8:22:24	90.6	42.1	45.5	-270.1	-270.1
 8:22:25	92.6	42.6	46	-270.1	-270.1
 8:22:26	94.7	43	46.6	-270.1	-270.1
 8:22:27	96.8	43.5	47.2	-270.1	-270.1
 8:22:28	98.9	43.9	47.8	-270.1	-270.1
 8:22:29	101	44.4	48.4	-270.1	-270.1
 8:22:30	103.1	44.9	49.1	-270.1	-270.1
 8:22:31	105.4	45.4	49.7	-270.1	-270.1
 8:22:32	107.5	45.9	50.4	-270.1	-270.1
 8:22:33	107.5	46.5	51.1	-270.1	-270.1
 8:22:34	109.7	46.9	51.7	-270.1	-270.1
 8:22:35	112	47.5	52.4	-270.1	-270.1
 8:22:36	114.3	48.1	53.2	-270.1	-270.1
 8:22:37	116.6	48.6	53.9	-270.1	-270.1
 8:22:38	118.9	49.2	54.5	-270.1	-270.1
 8:22:39	121.2	49.7	55.3	-270.1	-270.1
 8:22:40	123.7	50.4	56.1	-270.1	-270.1
 8:22:41	126.1	51	56.9	-270.1	-270.1
 8:22:42	128.5	51.6	57.7	-270.1	-270.1
 8:22:43	130.9	52.3	58.5	-270.1	-270.1
 8:22:44	133.4	52.9	59.3	-270.1	-270.1
 8:22:45	135.9	53.6	60.1	-270.1	-270.1
 8:22:46	138.4	54.3	60.9	-270.1	-270.1
 8:22:47	140.9	55	61.8	-270.1	-270.1
 8:22:48	143.5	55.7	62.6	-270.1	-270.1
 8:22:49	146.1	56.4	63.5	-270.1	-270.1
 8:22:50	148.7	57.1	64.4	-270.1	-270.1
 8:22:51	151.3	57.8	65.3	-270.1	-270.1
 8:22:52	153.9	58.6	66.2	-270.1	-270.1
 8:22:53	156.6	59.3	67.2	-270.1	-270.1
 8:22:54	159.2	60.1	68.1	-270.1	-270.1
 8:22:55	161.9	60.9	69.1	-270.1	-270.1
 8:22:56	164.6	61.7	70	-270.1	-270.1
 8:22:57	167.3	62.5	71	-270.1	-270.1
 8:22:58	169.9	63.3	72	-270.1	-270.1
 8:22:59	172.6	64.2	72.9	-270.1	-270.1
 8:23: 0	175.1	65	73.9	-270.1	-270.1
 8:23: 1	177.7	65.9	74.8	-270.1	-270.1
 8:23: 2	180.3	66.7	75.8	-270.1	-270.1
 8:23: 3	183	67.6	76.8	-270.1	-270.1
 8:23: 4	185.6	68.5	77.8	-270.1	-270.1
 8:23: 5	188.2	69.4	78.8	-270.1	-270.1
 8:23: 6	190.9	70.4	79.8	-270.1	-270.1
 8:23: 7	193.6	71.3	80.8	-270.1	-270.1
 8:23: 8	196.3	72.3	81.9	-270.1	-270.1
 8:23: 9	199	73.2	83	-270.1	-270.1
 8:23:10	201.7	74.3	84.1	-270.1	-270.1
 8:23:11	204.4	75.3	85.2	-270.1	-270.1
 8:23:12	207.1	76.3	86.2	-270.1	-270.1
 8:23:13	209.7	77.3	86.2	-270.1	-270.1
 8:23:14	212.3	78.3	87.3	-270.1	-270.1
 8:23:15	214.8	79.4	88.3	-270.1	-270.1
 8:23:16	217.3	80.4	89.3	-270.1	-270.1
 8:23:17	219.8	81.5	90.3	-270.1	-270.1
 8:23:18	222.2	82.6	91.3	-270.1	-270.1
 8:23:19	224.5	83.6	92.2	-270.1	-270.1
 8:23:20	226.8	84.7	93.1	-270.1	-270.1
 8:23:21	229	85.9	94	-270.1	-270.1
