温度历史数据					
时间	温度0	温度1	温度2	温度3	温度4
10:51:09	67.9	44.5	38.3	-270.1	-270.1
10:51:10	68.1	44.6	38.4	-270.1	-270.1
10:51:11	68.3	44.6	38.5	-270.1	-270.1
10:51:12	68.6	44.6	38.6	-270.1	-270.1
10:51:13	68.8	44.6	38.7	-270.1	-270.1
10:51:14	69	44.7	38.9	-270.1	-270.1
10:51:15	69.3	44.7	39	-270.1	-270.1
10:51:16	69.5	44.7	39.1	-270.1	-270.1
10:51:17	69.8	44.7	39.2	-270.1	-270.1
10:51:18	70.1	44.8	39.3	-270.1	-270.1
10:51:19	70.3	44.8	39.4	-270.1	-270.1
10:51:20	70.6	44.8	39.5	-270.1	-270.1
10:51:21	70.8	44.9	39.6	-270.1	-270.1
10:51:22	71.1	44.9	39.6	-270.1	-270.1
10:51:23	71.4	44.9	39.7	-270.1	-270.1
10:51:24	71.6	44.9	39.8	-270.1	-270.1
10:51:25	71.9	44.9	39.8	-270.1	-270.1
10:51:26	72.2	45	40	-270.1	-270.1
10:51:27	72.5	45.1	40.1	-270.1	-270.1
10:51:28	72.8	45.1	40.2	-270.1	-270.1
10:51:29	73.1	45.1	40.2	-270.1	-270.1
10:51:30	73.4	45.1	40.3	-270.1	-270.1
10:51:31	73.7	45.2	40.4	-270.1	-270.1
10:51:32	74	45.2	40.5	-270.1	-270.1
10:51:33	74.3	45.2	40.6	-270.1	-270.1
10:51:34	74.6	45.2	40.6	-270.1	-270.1
10:51:35	74.9	45.3	40.7	-270.1	-270.1
10:51:36	75.2	45.3	40.8	-270.1	-270.1
10:51:37	75.5	45.3	40.8	-270.1	-270.1
10:51:38	75.9	45.4	40.8	-270.1	-270.1
10:51:39	76.2	45.4	40.9	-270.1	-270.1
10:51:40	76.5	45.4	41	-270.1	-270.1
10:51:41	76.9	45.5	41.1	-270.1	-270.1
10:51:42	77.2	45.5	41.1	-270.1	-270.1
10:51:43	77.5	45.5	41.2	-270.1	-270.1
10:51:44	77.9	45.5	41.3	-270.1	-270.1
10:51:45	78.2	45.5	41.3	-270.1	-270.1
10:51:46	78.5	45.6	41.4	-270.1	-270.1
10:51:47	78.9	45.6	41.5	-270.1	-270.1
10:51:48	79.2	45.6	41.5	-270.1	-270.1
10:51:49	79.5	45.7	41.6	-270.1	-270.1
10:51:50	79.9	45.7	41.7	-270.1	-270.1
10:51:51	80.2	45.7	41.7	-270.1	-270.1
10:51:52	80.6	45.7	41.8	-270.1	-270.1
10:51:53	80.9	45.7	41.9	-270.1	-270.1
10:51:54	81.2	45.8	41.9	-270.1	-270.1
10:51:55	81.6	45.8	42	-270.1	-270.1
10:51:56	81.9	45.8	42.1	-270.1	-270.1
10:51:57	82.2	45.8	42.1	-270.1	-270.1
10:51:58	82.5	45.9	42.2	-270.1	-270.1
10:51:59	82.9	45.9	42.2	-270.1	-270.1
10:52:00	83.2	45.9	42.3	-270.1	-270.1
10:52:01	83.5	45.9	42.4	-270.1	-270.1
10:52:02	83.8	46	42.4	-270.1	-270.1
10:52:03	84.1	46	42.5	-270.1	-270.1
10:52:04	84.1	46	42.5	-270.1	-270.1
10:52:05	84.5	46	42.6	-270.1	-270.1
10:52:06	84.8	46.1	42.7	-270.1	-270.1
10:52:07	85.1	46.1	42.7	-270.1	-270.1
10:52:08	85.4	46.1	42.8	-270.1	-270.1
10:52:09	85.7	46.1	42.8	-270.1	-270.1
10:52:10	86	46.2	42.9	-270.1	-270.1
10:52:11	86.3	46.2	43	-270.1	-270.1
10:52:12	86.6	46.2	43	-270.1	-270.1
10:52:13	86.9	46.2	43.1	-270.1	-270.1
10:52:14	87.2	46.3	43.1	-270.1	-270.1
10:52:15	87.4	46.3	43.2	-270.1	-270.1
10:52:16	87.7	46.3	43.2	-270.1	-270.1
10:52:17	88	46.3	43.3	-270.1	-270.1
10:52:18	88.3	46.4	43.4	-270.1	-270.1
10:52:19	88.5	46.4	43.4	-270.1	-270.1
10:52:20	88.8	46.4	43.5	-270.1	-270.1
10:52:21	89.1	46.4	43.5	-270.1	-270.1
10:52:22	89.4	46.5	43.6	-270.1	-270.1
10:52:23	89.6	46.5	43.6	-270.1	-270.1
10:52:24	89.9	46.5	43.7	-270.1	-270.1
10:52:25	90.1	46.5	43.7	-270.1	-270.1
10:52:26	90.4	46.6	43.8	-270.1	-270.1
10:52:27	90.6	46.6	43.8	-270.1	-270.1
10:52:28	90.9	46.6	43.9	-270.1	-270.1
10:52:29	91.1	46.6	44	-270.1	-270.1
10:52:30	91.4	46.6	44	-270.1	-270.1
10:52:31	91.6	46.7	44.1	-270.1	-270.1
10:52:32	91.8	46.7	44.1	-270.1	-270.1
10:52:33	92.1	46.7	44.2	-270.1	-270.1
10:52:34	92.3	46.8	44.3	-270.1	-270.1
10:52:35	92.6	46.8	44.3	-270.1	-270.1
10:52:36	92.7	46.8	44.3	-270.1	-270.1
10:52:37	92.9	46.8	44.4	-270.1	-270.1
10:52:38	93.2	46.9	44.5	-270.1	-270.1
10:52:39	93.4	46.9	44.5	-270.1	-270.1
10:52:40	93.6	46.9	44.6	-270.1	-270.1
10:52:41	93.8	47	44.6	-270.1	-270.1
10:52:42	94	47	44.7	-270.1	-270.1
10:52:43	94.2	47	44.7	-270.1	-270.1
10:52:44	94.4	47.1	44.8	-270.1	-270.1
10:52:45	94.6	47.1	44.8	-270.1	-270.1
10:52:46	94.9	47.2	45	-270.1	-270.1
10:52:47	95.1	47.2	45	-270.1	-270.1
10:52:48	95.2	47.2	45	-270.1	-270.1
10:52:49	95.4	47.2	45	-270.1	-270.1
10:52:50	95.6	47.2	45	-270.1	-270.1
10:52:51	95.7	47.2	45.1	-270.1	-270.1
10:52:52	95.9	47.3	45.1	-270.1	-270.1
10:52:53	96.1	47.3	45.2	-270.1	-270.1
10:52:54	96.3	47.3	45.2	-270.1	-270.1
10:52:55	96.4	47.4	45.3	-270.1	-270.1
10:52:56	96.6	47.4	45.3	-270.1	-270.1
10:52:57	96.7	47.4	45.4	-270.1	-270.1
10:52:58	96.9	47.4	45.4	-270.1	-270.1
10:52:59	97	47.5	45.5	-270.1	-270.1
10:53:00	97.2	47.5	45.5	-270.1	-270.1
10:53:01	97.4	47.5	45.6	-270.1	-270.1
10:53:02	97.5	47.5	45.6	-270.1	-270.1
10:53:03	97.6	47.5	45.7	-270.1	-270.1
10:53:04	97.8	47.6	45.7	-270.1	-270.1
10:53:05	97.9	47.6	45.8	-270.1	-270.1
10:53:06	98.1	47.6	45.8	-270.1	-270.1
10:53:07	98.3	47.6	45.9	-270.1	-270.1
10:53:08	98.4	47.7	46	-270.1	-270.1
10:53:09	98.5	47.8	46.1	-270.1	-270.1
10:53:10	98.6	47.7	46	-270.1	-270.1
10:53:11	98.7	47.8	46.1	-270.1	-270.1
10:53:12	98.8	47.8	46.1	-270.1	-270.1
10:53:13	99	47.8	46.2	-270.1	-270.1
10:53:14	99	47.8	46.2	-270.1	-270.1
10:53:15	99.1	47.9	46.3	-270.1	-270.1
10:53:16	99.2	47.9	46.3	-270.1	-270.1
10:53:17	99.3	47.9	46.4	-270.1	-270.1
10:53:18	99.4	48	46.4	-270.1	-270.1
10:53:19	99.5	48	46.5	-270.1	-270.1
10:53:20	99.6	48	46.5	-270.1	-270.1
10:53:21	99.7	48	46.6	-270.1	-270.1
10:53:22	99.8	48.1	46.6	-270.1	-270.1
10:53:23	99.9	48.1	46.7	-270.1	-270.1
