PM 01:34:18    9.0955 g 
PM 01:34:19    9.0951 g 
PM 01:34:19    9.0951 g 
PM 01:34:20    9.0951 g 
PM 01:34:21    9.0951 g 
PM 01:34:21    9.0951 g 
PM 01:34:22    9.0951 g 
PM 01:34:23    9.0951 g 
PM 01:34:23    9.0950 g 
PM 01:34:24    9.0950 g 
PM 01:34:25    9.0950 g 
PM 01:34:25    9.0950 g 
PM 01:34:26    9.0949 g 
PM 01:34:26    9.0948 g 
PM 01:34:27    9.0947 g 
PM 01:34:28    9.0947 g 
PM 01:34:28    9.0945 g 
PM 01:34:29    9.0944 g 
PM 01:34:30    9.0944 g 
PM 01:34:30    9.0939 g 
PM 01:34:31    9.0939 g 
PM 01:34:31    9.0939 g 
PM 01:34:32    9.0939 g 
PM 01:34:33    9.0939 g 
PM 01:34:33    9.0939 g 
PM 01:34:34    9.0939 g 
PM 01:34:35    9.0939 g 
PM 01:34:35    9.0939 g 
PM 01:34:36    9.0939 g 
PM 01:34:37    9.0939 g 
PM 01:34:37    9.0938 g 
PM 01:34:38    9.0938 g 
PM 01:34:38    9.0938 g 
PM 01:34:39    9.0938 g 
PM 01:34:40    9.0938 g 
PM 01:34:40    9.0938 g 
PM 01:34:41    9.0937 g 
PM 01:34:42    9.0937 g 
PM 01:34:42    9.0936 g 
PM 01:34:43    9.0936 g 
PM 01:34:43    9.0935 g 
PM 01:34:44    9.0934 g 
PM 01:34:45    9.0933 g 
PM 01:34:45    9.0933 g 
PM 01:34:46    9.0933 g 
PM 01:34:47    9.0932 g 
PM 01:34:47    9.0932 g 
PM 01:34:48    9.0932 g 
PM 01:34:49    9.0932 g 
PM 01:34:49    9.0932 g 
PM 01:34:50    9.0932 g 
PM 01:34:50    9.0928 g 
PM 01:34:51    9.0927 g 
PM 01:34:52    9.0927 g 
PM 01:34:52    9.0927 g 
PM 01:34:53    9.0927 g 
PM 01:34:54    9.0927 g 
PM 01:34:54    9.0926 g 
PM 01:34:55    9.0926 g 
PM 01:34:55    9.0926 g 
PM 01:34:56    9.0926 g 
PM 01:34:57    9.0926 g 
PM 01:34:57    9.0926 g 
PM 01:34:58    9.0926 g 
PM 01:34:59    9.0924 g 
PM 01:34:59    9.0923 g 
PM 01:35:00    9.0923 g 
PM 01:35:01    9.0922 g 
PM 01:35:01    9.0921 g 
PM 01:35:02    9.0920 g 
PM 01:35:02    9.0915 g 
PM 01:35:03    9.0914 g 
PM 01:35:04    9.0914 g 
PM 01:35:04    9.0914 g 
PM 01:35:05    9.0914 g 
PM 01:35:06    9.0913 g 
PM 01:35:06    9.0912 g 
PM 01:35:07    9.0912 g 
PM 01:35:07    9.0912 g 
PM 01:35:08    9.0912 g 
PM 01:35:09    9.0912 g 
PM 01:35:09    9.0912 g 
PM 01:35:10    9.0912 g 
PM 01:35:11    9.0912 g 
PM 01:35:11    9.0912 g 
PM 01:35:12    9.0911 g 
PM 01:35:13    9.0911 g 
PM 01:35:13    9.0910 g 
PM 01:35:14    9.0910 g 
PM 01:35:15    9.0910 g 
PM 01:35:15    9.0910 g 
PM 01:35:16    9.0910 g 
PM 01:35:16    9.0909 g 
PM 01:35:17    9.0908 g 
