PM 04:09:30    8.8767   
PM 04:09:31    8.8767 g 
PM 04:09:31    8.8767 g 
PM 04:09:32    8.8767 g 
PM 04:09:32    8.8767 g 
PM 04:09:32    8.8766 g 
PM 04:09:33    8.8765 g 
PM 04:09:33    8.8765 g 
PM 04:09:34    8.8764 g 
PM 04:09:34    8.8762 g 
PM 04:09:35    8.8761 g 
PM 04:09:35    8.8760 g 
PM 04:09:36    8.8760 g 
PM 04:09:36    8.8759 g 
PM 04:09:37    8.8755 g 
PM 04:09:37    8.8755 g 
PM 04:09:38    8.8755 g 
PM 04:09:38    8.8755 g 
PM 04:09:39    8.8755 g 
PM 04:09:39    8.8755 g 
PM 04:09:40    8.8755 g 
PM 04:09:40    8.8755 g 
PM 04:09:41    8.8755 g 
PM 04:09:41    8.8755 g 
PM 04:09:42    8.8755 g 
PM 04:09:42    8.8754 g 
PM 04:09:43    8.8752 g 
PM 04:09:43    8.8752 g 
PM 04:09:44    8.8752 g 
PM 04:09:44    8.8752 g 
PM 04:09:44    8.8751 g 
PM 04:09:45    8.8751 g 
PM 04:09:45    8.8751 g 
PM 04:09:46    8.8750 g 
PM 04:09:46    8.8749 g 
PM 04:09:47    8.8749 g 
PM 04:09:47    8.8749 g 
PM 04:09:48    8.8749 g 
PM 04:09:49    8.8748 g 
PM 04:09:49    8.8748 g 
PM 04:09:50    8.8747 g 
PM 04:09:51    8.8743 g 
PM 04:09:51    8.8743 g 
PM 04:09:52    8.8743 g 
PM 04:09:52    8.8743 g 
PM 04:09:53    8.8743 g 
PM 04:09:54    8.8743 g 
PM 04:09:54    8.8742 g 
PM 04:09:55    8.8742 g 
PM 04:09:56    8.8742 g 
PM 04:09:56    8.8741 g 
PM 04:09:57    8.8741 g 
PM 04:09:58    8.8739 g 
PM 04:09:58    8.8738 g 
PM 04:09:59    8.8737 g 
PM 04:10:00    8.8737 g 
PM 04:10:00    8.8736 g 
PM 04:10:01    8.8735 g 
PM 04:10:01    8.8732 g 
PM 04:10:02    8.8731 g 
PM 04:10:03    8.8731 g 
PM 04:10:03    8.8731 g 
PM 04:10:04    8.8731 g 
PM 04:10:05    8.8731 g 
PM 04:10:05    8.8731 g 
PM 04:10:06    8.8731 g 
PM 04:10:07    8.8731 g 
PM 04:10:07    8.8731 g 
PM 04:10:08    8.8729 g 
PM 04:10:08    8.8729 g 
PM 04:10:09    8.8727 g 
PM 04:10:10    8.8724 g 
PM 04:10:10    8.8723 g 
PM 04:10:11    8.8716   
PM 04:10:12    8.8714   
PM 04:10:12    8.8713 g 
PM 04:10:13    8.8712 g 
PM 04:10:14    8.8711 g 
PM 04:10:14    8.8707   
PM 04:10:15    8.8706 g 
PM 04:10:16    8.8700 g 
PM 04:10:16    8.8699 g 
PM 04:10:17    8.8696   
PM 04:10:17    8.8692   
PM 04:10:18    8.8685   
PM 04:10:19    8.8682   
PM 04:10:19    8.8677   
PM 04:10:20    8.8672   
PM 04:10:21    8.8667   
PM 04:10:21    8.8663   
PM 04:10:22    8.8658   
PM 04:10:23    8.8653   
PM 04:10:23    8.8647   
PM 04:10:24    8.8640   
PM 04:10:24    8.8634   
PM 04:10:25    8.8629   
PM 04:10:26    8.8622   
PM 04:10:26    8.8616   
PM 04:10:27    8.8609   
PM 04:10:28    8.8602   
PM 04:10:28    8.8596   
PM 04:10:29    8.8590   
PM 04:10:30    8.8583   
PM 04:10:30    8.8577   
PM 04:10:31    8.8570   
PM 04:10:32    8.8562   
PM 04:10:32    8.8556   
PM 04:10:33    8.8550   
PM 04:10:33    8.8544   
PM 04:10:34    8.8538   
PM 04:10:35    8.8532   
PM 04:10:35    8.8525   
PM 04:10:36    8.8519   
PM 04:10:37    8.8513   
